from_stop_id;to_stop_id;weight
2209;2125;0
1659;2205;2
1956;2206;10
1951;2207;2
1956;2207;13
2206;2207;2
1910;2213;7
1957;2213;3
1166834;2221;6
1965;2221;4
1967;2221;7
2036;2221;4
1972;2226;2
1907;2233;1
2232;2233;1
1657;2241;2
1928;2252;3
1890;2285;1
1900;2297;4
1902;2297;3
1844;2310;2
1847;2313;1
2053;2313;5
2314;2313;2
2053;2314;5
1861;2327;1
1814;2354;1
1764;2375;2
1647;2376;2
1767;2376;1
2377;2376;3
967988;2376;3
1647;2377;2
967988;2377;3
1773;2384;1
1784;2395;2
1648;2403;2
1794;2403;2
2528;2403;2
6129304;2435;3
1956;2437;10
1166840;2467;3
1715;2467;8
1723;2467;4
1724;2467;2
1667;2476;2
1674;2485;2
1676;2485;2
2486;2485;2
1674;2486;4
1629;2510;1
1794;2528;2
1845;2533;2
1657;3343755;3
1916;3343755;3
2241;3343755;3
1657;3343756;3
1916;3343756;3
2241;3343756;3
1897;3343761;3
1897;3343762;3
1980;3343763;3
1982;3343763;3
1980;3343764;3
1982;3343764;3
1166838;3343765;3
1869;3343765;3
1166838;3343766;3
1869;3343766;3
1846;3343767;3
1847;3343767;3
2053;3343767;3
2313;3343767;3
2314;3343767;3
1846;3343768;3
1847;3343768;3
2053;3343768;3
2313;3343768;3
2314;3343768;3
1702;3343769;3
1702;3343770;3
1712;3343771;3
1712;3343772;3
2001;3343773;3
2001;3343774;3
1677;3343775;3
1678;3343775;3
1677;3343776;3
1678;3343776;3
1647;3343777;3
1766;3343777;3
1767;3343777;3
2376;3343777;3
2377;3343777;3
967988;3343777;3
1647;3343778;3
1766;3343778;3
1767;3343778;3
2376;3343778;3
2377;3343778;3
967988;3343778;3
2062;3343785;3
2063;3343785;3
2112;3343785;3
2062;3343786;3
2063;3343786;3
2112;3343786;3
1698;3343791;3
1698;3343792;3
2081;3343795;3
2081;3343796;3
1647;967988;3
